Order ID,Timestamp,Fill Time,B/S,Contract,filledQty,Avg Fill Price,Type,Limit Price,Stop Price,Status,Trade Duration,Gap Time,Revenge Trade,Excessive Risk,Outsized Loss,No Stop Loss
7301604731,01/02/2024 7:11:00,01/02/2024 7:11:00,Buy,MNQH4,1,21469.25,Market,21469.25,,Filled,0:06:47,,,,,
7301604733,01/02/2024 7:11:11,01/02/2024 7:11:11,Sell,MNQH4,1,21490,Limit,21490,,Filled,,0:34:18,,,,
7301604731,01/02/2024 7:30:00,01/02/2024 7:30:00,Buy,MNQH4,1,21490.25,Market,21490.25,,Filled,0:06:47,,,,,
7301604732,01/02/2024 7:30:00,,Sell,MNQH4,1,,Stop,,21483.25,Cancelled,,,,,,
7301604733,01/02/2024 7:30:00,01/02/2024 7:36:47,Sell,MNQH4,1,21505.25,Limit,21505.25,,Filled,,0:34:18,,,,
7301604621,01/02/2024 8:11:05,01/02/2024 8:11:05,Buy,MNQH4,1,21461.25,Market,21461.25,,Filled,0:05:52,,,,,
7301604622,01/02/2024 8:11:05,01/02/2024 8:16:57,Sell,MNQH4,1,21450.25,Stop,,21450.25,Filled,,,,,,
7301604623,01/02/2024 8:11:05,,Sell,MNQH4,1,,Limit,21481.5,,Cancelled,,0:55:15,,,,
7301602951,01/02/2024 9:12:12,01/02/2024 9:12:12,Sell,MNQH4,1,21523,Market,21523,,Filled,0:06:06,,,,,
7301602952,01/02/2024 9:12:12,,Buy,MNQH4,1,,Stop,,21530.75,Cancelled,,,,,,
7301602953,01/02/2024 9:12:12,01/02/2024 9:18:18,Buy,MNQH4,1,21507.25,Limit,21507.25,,Filled,,1:59:48,,,,
7301603211,01/02/2024 11:18:06,01/02/2024 11:18:06,Sell,MNQH4,1,21506.5,Market,21506.5,,Filled,0:10:09,,,,,
7301603212,01/02/2024 11:18:06,01/02/2024 11:28:15,Buy,MNQH4,1,21518.75,Stop,,21518.75,Filled,,,,,,
7301603213,01/02/2024 11:18:06,,Buy,MNQH4,1,,Limit,21482,,Cancelled,,0:14:31,,,,
7301605101,01/02/2024 11:42:46,01/02/2024 11:42:46,Buy,MNQH4,1,21496.5,Market,21496.5,,Filled,0:01:49,,,,,
7301605102,01/02/2024 11:42:46,,Sell,MNQH4,1,,Stop,,21488.25,Cancelled,,,,,,
7301605103,01/02/2024 11:42:46,01/02/2024 11:44:35,Sell,MNQH4,1,21516,Limit,21516,,Filled,,1:17:09,,,,
7301604861,01/03/2024 7:30:00,01/03/2024 7:30:00,Sell,MNQH4,1,21498,Market,21498,,Filled,0:07:17,,,,,
7301604862,01/03/2024 7:30:00,,Buy,MNQH4,1,,Stop,,21507.25,Cancelled,,,,,,
7301604863,01/03/2024 7:30:00,01/03/2024 7:37:17,Buy,MNQH4,1,21479.75,Limit,21479.75,,Filled,,0:21:21,,,,
7301603951,01/03/2024 7:58:38,01/03/2024 7:58:38,Buy,MNQH4,1,21387,Market,21387,,Filled,0:01:11,,,,,
7301603952,01/03/2024 7:58:38,01/03/2024 7:59:49,Sell,MNQH4,1,21374.75,Stop,,21374.75,Filled,,,,,,
7301603953,01/03/2024 7:58:38,,Sell,MNQH4,1,,Limit,21410,,Cancelled,,1:52:56,,,,
7301605741,01/03/2024 9:52:45,01/03/2024 9:52:45,Buy,MNQH4,1,21495.5,Market,21495.5,,Filled,0:06:59,,revenge,,,
7301605742,01/03/2024 9:52:45,01/03/2024 9:59:44,Sell,MNQH4,1,21478.75,Stop,,21478.75,Filled,,,revenge,,,
7301605743,01/03/2024 9:52:45,,Sell,MNQH4,1,,Limit,21531,,Cancelled,,0:01:15,revenge,,,
7301605081,01/03/2024 10:00:59,01/03/2024 10:00:59,Sell,MNQH4,1,21466.75,Market,21466.75,,Filled,0:04:52,,,,,
7301605082,01/03/2024 10:00:59,01/03/2024 10:05:51,Buy,MNQH4,1,21479.5,Stop,,21479.5,Filled,,,,,,
7301605083,01/03/2024 10:00:59,,Buy,MNQH4,1,,Limit,21449.25,,Cancelled,,1:06:20,,,,
7301604611,01/03/2024 11:12:11,01/03/2024 11:12:11,Sell,MNQH4,1,21354.5,Market,21354.5,,Filled,0:02:14,,,,,
7301604612,01/03/2024 11:12:11,,Buy,MNQH4,1,,Stop,,21362.75,Cancelled,,,,,,
7301604613,01/03/2024 11:12:11,01/03/2024 11:14:25,Buy,MNQH4,1,21337.25,Limit,21337.25,,Filled,,0:10:11,,,,
7301603911,01/04/2024 7:30:00,01/04/2024 7:30:00,Buy,MNQH4,1,21360,Market,21360,,Filled,0:00:23,,,,,
7301603912,01/04/2024 7:30:00,,Sell,MNQH4,1,,Stop,,21350.25,Cancelled,,,,,,
7301603913,01/04/2024 7:30:00,01/04/2024 7:30:23,Sell,MNQH4,1,21379.75,Limit,21379.75,,Filled,,0:58:49,,,,
7301605251,01/04/2024 8:29:12,01/04/2024 8:29:12,Sell,MNQH4,1,21379,Market,21379,,Filled,0:06:56,,,,,
7301605252,01/04/2024 8:29:12,01/04/2024 8:36:08,Buy,MNQH4,1,21393.75,Stop,,21393.75,Filled,,,,,,
7301605253,01/04/2024 8:29:12,,Buy,MNQH4,1,,Limit,21353.75,,Cancelled,,1:42:39,,,,
7301604911,01/04/2024 10:18:47,01/04/2024 10:18:47,Sell,MNQH4,1,21483.25,Market,21483.25,,Filled,0:08:52,,,,,
7301604912,01/04/2024 10:18:47,01/04/2024 10:27:39,Buy,MNQH4,1,21495.75,Stop,,21495.75,Filled,,,,,,
7301604913,01/04/2024 10:18:47,,Buy,MNQH4,1,,Limit,21461.25,,Cancelled,,1:05:53,,,,
7301605571,01/04/2024 11:33:32,01/04/2024 11:33:32,Buy,MNQH4,1,21439.25,Market,21439.25,,Filled,0:10:01,,revenge,,,
7301605572,01/04/2024 11:33:32,,Sell,MNQH4,1,,Stop,,21432.25,Cancelled,,,revenge,,,
7301605573,01/04/2024 11:33:32,01/04/2024 11:43:33,Sell,MNQH4,1,21455.5,Limit,21455.5,,Filled,,0:03:19,revenge,,,
7301603801,01/04/2024 11:46:52,01/04/2024 11:46:52,Buy,MNQH4,1,21480.5,Market,21480.5,,Filled,0:10:44,,,,,
7301603802,01/04/2024 11:46:52,,Sell,MNQH4,1,,Stop,,21472.75,Cancelled,,,,,,
7301603803,01/04/2024 11:46:52,01/04/2024 11:57:36,Sell,MNQH4,1,21494.75,Limit,21494.75,,Filled,,1:54:46,,,,
7301603021,01/05/2024 7:30:00,01/05/2024 7:30:00,Sell,MNQH4,1,21421.5,Market,21421.5,,Filled,0:05:24,,,,,
7301603022,01/05/2024 7:30:00,,Buy,MNQH4,1,,Stop,,21430.5,Cancelled,,,,,,
7301603023,01/05/2024 7:30:00,01/05/2024 7:35:24,Buy,MNQH4,1,21401.5,Limit,21401.5,,Filled,,0:15:54,,,,
7301603571,01/05/2024 7:51:18,01/05/2024 7:51:18,Buy,MNQH4,1,21510.5,Market,21510.5,,Filled,0:07:59,,,,,
7301603572,01/05/2024 7:51:18,,Sell,MNQH4,1,,Stop,,21501,Cancelled,,,,,,
7301603573,01/05/2024 7:51:18,01/05/2024 7:59:17,Sell,MNQH4,1,21525.5,Limit,21525.5,,Filled,,0:34:58,,,,
7301603281,01/05/2024 8:34:15,01/05/2024 8:34:15,Buy,MNQH4,1,21438,Market,21438,,Filled,0:01:26,,,,,
7301603282,01/05/2024 8:34:15,01/05/2024 8:35:41,Sell,MNQH4,1,21423.25,Stop,,21423.25,Filled,,,,,,
7301603283,01/05/2024 8:34:15,,Sell,MNQH4,1,,Limit,21468.75,,Cancelled,,1:21:51,,,,
7301603811,01/05/2024 9:57:32,01/05/2024 9:57:32,Buy,MNQH4,1,21393,Market,21393,,Filled,0:02:50,,,,,
7301603812,01/05/2024 9:57:32,,Sell,MNQH4,1,,Stop,,21384.5,Cancelled,,,,,,
